id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
4983,NTGA,medium_airport,Anaa Airport,-17.3526,-145.509995,10,OC,PF,PF-U-A,Anaa,yes,NTGA,AAA,NTGA,,,https://en.wikipedia.org/wiki/Anaa_Airport,
27342,YARY,small_airport,Arrabury Airport,-26.69639,141.048718,334,OC,AU,AU-QLD,Tanbar,no,YARY,AAB,YARY,,,https://en.wikipedia.org/wiki/Arrabury_Airport,
3176,HEAR,large_airport,El Arish International Airport,31.055324,33.827964,118,AS,EG,EG-SIN,El Arish,yes,HEAR,AAC,HEAR,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,
324756,AAD,small_airport,Adado Airport,6.095802,46.6375,1001,AF,SO,SO-GA,Adado,no,HCAD,AAD,HCAD,,,https://en.wikipedia.org/wiki/Adado_Airport,Cadaado Airport
2060,DABB,large_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,16,AF,DZ,DZ-23,Annaba,yes,DABB,AAE,DABB,,,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah"
19224,KAAF,small_airport,Apalachicola Regional Airport,29.727501,-85.027496,20,NA,US,US-FL,Apalachicola,no,KAAF,AAF,KAAF,AAF,,https://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport,"AQQ, KAQQ"
28490,EDKA,small_airport,Aachen-Merzbrück Airport,50.823055,6.186389,623,EU,DE,DE-NW,Aachen,no,EDKA,AAH,EDKA,,https://www.flugplatz-aachen.de,https://en.wikipedia.org/wiki/Aachen_Merzbr%C3%BCck_Airfield,"EDCM, ETBA, Flugplatz Aachen Merzbrück, Segelflug Aachen, Motorflug Aachen"
38046,BR-2149,small_airport,Arraias Airport,-13.025154,-46.884107,1923,SA,BR,BR-TO,Arraias,no,,AAI,,,,https://en.wikipedia.org/wiki/Arraias_Airport,SWRA
30606,SMCA,small_airport,Cayana Airstrip,3.898681,-55.577907,360,SA,SR,SR-SI,Awaradam,no,SMCA,AAJ,SMCA,,,https://en.wikipedia.org/wiki/Cayana_Airstrip,"Kajana, Cajana"
30607,NGUK,small_airport,Aranuka Airport,0.185278,173.636993,6,OC,KI,KI-G,Buariki,yes,NGUK,AAK,NGUK,,,https://en.wikipedia.org/wiki/Aranuka_Airport,Tarawa
2562,EKYT,large_airport,Aalborg Airport,57.094763,9.84993,10,EU,DK,DK-81,Aalborg,yes,EKYT,AAL,EKYT,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,
2808,FAMD,medium_airport,Malamala Airport,-24.816866,31.544085,1124,AF,ZA,ZA-MP,Malamala,no,FAMD,AAM,FAMD,,,https://en.wikipedia.org/wiki/Mala_Mala_Airport,
5230,OMAL,large_airport,Al Ain International Airport,24.2617,55.6092,869,AS,AE,AE-AZ,Al Ain,yes,OMAL,AAN,OMAL,,,https://en.wikipedia.org/wiki/Al_Ain_International_Airport,
6251,SVAN,medium_airport,Anaco Airport,9.430225,-64.470726,721,SA,VE,VE-B,Anaco,no,SVAN,AAO,SVAN,,,https://en.wikipedia.org/wiki/Anaco_Airport,
26763,WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,82,AS,ID,ID-KI,Samarinda,yes,WALS,AAP,WALS,,,https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport,Sungai Siring Airport
6511,URKA,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174,EU,RU,RU-KDA,Krasnyi Kurgan,yes,URKA,AAQ,URKA,,https://www.aaqaero.ru/en/,https://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport
