"iata_code","iana_tz","windows_tz"
"AAA","Pacific/Tahiti","Hawaiian Standard Time"
"AAB","Australia/Brisbane","E. Australia Standard Time"
"AAC","Africa/Cairo","Egypt Standard Time"
"AAD","Africa/Mogadishu","E. Africa Standard Time"
"AAE","Africa/Algiers","W. Central Africa Standard Time"
"AAF","America/New_York","Eastern Standard Time"
"AAG","America/Sao_Paulo","E. South America Standard Time"
"AAH","Europe/Berlin","W. Europe Standard Time"
"AAI","America/Araguaina","Tocantins Standard Time"
"AAJ","America/Paramaribo","SA Eastern Standard Time"
"AAK","Pacific/Tarawa","UTC+12"
"AAL","Europe/Copenhagen","Romance Standard Time"
"AAM","Africa/Johannesburg","South Africa Standard Time"
"AAN","Asia/Dubai","Arabian Standard Time"
"AAO","America/Caracas","Venezuela Standard Time"
"AAP","Asia/Makassar","Singapore Standard Time"
"AAQ","Europe/Moscow","Russian Standard Time"
"AAR","Europe/Copenhagen","Romance Standard Time"
"AAS","Asia/Jayapura","Tokyo Standard Time"
"AAT","Asia/Shanghai","China Standard Time"
"AAU","Pacific/Apia","Samoa Standard Time"
"AAV","Asia/Manila","Singapore Standard Time"
"AAX","America/Sao_Paulo","E. South America Standard Time"
"AAY","Asia/Aden","Arab Standard Time"
"AAZ","America/Guatemala","Central America Standard Time"
"ABA","Asia/Krasnoyarsk","North Asia Standard Time"
"ABB","Africa/Lagos","W. Central Africa Standard Time"
"ABC","Europe/Madrid","Romance Standard Time"
"ABD","Asia/Tehran","Iran Standard Time"
"ABE","America/New_York","Eastern Standard Time"
"ABF","Pacific/Tarawa","UTC+12"
"ABG","Australia/Brisbane","E. Australia Standard Time"
"ABH","Australia/Brisbane","E. Australia Standard Time"
"ABI","America/Chicago","Central Standard Time"
"ABJ","Africa/Abidjan","Greenwich Standard Time"
"ABK","Africa/Addis_Ababa","E. Africa Standard Time"
"ABL","America/Anchorage","Alaskan Standard Time"
"ABM","Australia/Brisbane","E. Australia Standard Time"
"ABN","America/Cayenne","SA Eastern Standard Time"
"ABO","Africa/Abidjan","Greenwich Standard Time"
"ABP","Pacific/Port_Moresby","West Pacific Standard Time"
"ABQ","America/Denver","Mountain Standard Time"
"ABR","America/Chicago","Central Standard Time"
"ABS","Africa/Cairo","Egypt Standard Time"
"ABT","Asia/Riyadh","Arab Standard Time"
"ABU","Asia/Makassar","Singapore Standard Time"
"ABV","Africa/Lagos","W. Central Africa Standard Time"
"ABX","Australia/Melbourne","AUS Eastern Standard Time"
"ABY","America/New_York","Eastern Standard Time"
"ABZ","Europe/London","GMT Standard Time"
"ACA","America/Mexico_City","Central Standard Time (Mexico)"
"ACB","America/Detroit","Eastern Standard Time"
"ACC","Africa/Accra","Greenwich Standard Time"
"ACD","America/Bogota","SA Pacific Standard Time"
"ACE","Atlantic/Canary","GMT Standard Time"
"ACF","Asia/Shanghai","China Standard Time"
"ACH","Europe/Vienna","W. Europe Standard Time"
"ACI","Europe/Guernsey","GMT Standard Time"
"ACJ","Asia/Colombo","Sri Lanka Standard Time"
"ACK","America/New_York","Eastern Standard Time"
"ACM","America/Bogota","SA Pacific Standard Time"
"ACN","America/Matamoros","Central Standard Time"
"ACP","Asia/Tehran","Iran Standard Time"
"ACR","America/Bogota","SA Pacific Standard Time"
